Cell Name,Cluster
A3_P2_M34,CD8_6
A3_P4_M34,CD8_2
A4_P2_M34,CD8_2
A4_P3_M34,CD8_3
A4_P4_M34,CD8_2
A5_P3_M34,CD8_2
A6_P2_M34,CD8_1
A7_P3_M34,CD8_3
A8_P1_M34,CD8_4
A8_P2_M34,CD8_4
A8_P4_M34,CD8_5
A9_P3_M34,CD8_2
A9_P4_M34,CD8_1
B10_P1_M34,CD8_2
B10_P4_M34,CD8_3
B11_P1_M34,CD8_2
B11_P2_M34,CD8_3
B12_P1_M34,CD8_2
B12_P2_M34,CD8_2
B12_P4_M34,CD8_2
B1_P2_M34,CD8_2
B1_P3_M34,CD8_3
B2_P1_M34,CD8_2
B2_P2_M34,CD8_6
B2_P3_M34,CD8_3
B2_P4_M34,CD8_2
B3_P3_M34,CD8_2
B3_P4_M34,CD8_5
B4_P1_M34,CD8_2
B4_P2_M34,CD8_1
B4_P3_M34,CD8_3
B4_P4_M34,CD8_2
B5_P1_M34,CD8_3
B5_P2_M34,CD8_6
B5_P3_M34,CD8_2
B5_P4_M34,CD8_3
B6_P2_M34,CD8_2
B6_P3_M34,CD8_3
B6_P4_M34,CD8_2
B7_P1_M34,CD8_1
B7_P2_M34,CD8_3
B7_P3_M34,CD8_2
B8_P1_M34,CD8_2
B8_P4_M34,CD8_4
B9_P1_M34,CD8_3
B9_P2_M34,CD8_2
B9_P3_M34,CD8_2
B9_P4_M34,CD8_2
C10_P1_M34,CD8_3
C10_P2_M34,CD8_2
C10_P4_M34,CD8_2
C11_P3_M34,CD8_2
C12_P1_M34,CD8_2
C12_P2_M34,CD8_2
C12_P3_M34,CD8_2
C12_P4_M34,CD8_6
C1_P1_M34,CD8_2
C1_P4_M34,CD8_2
C2_P3_M34,CD8_2
C3_P3_M34,CD8_2
C3_P4_M34,CD8_4
C4_P3_M34,CD8_2
C4_P4_M34,CD8_6
C5_P2_M34,CD8_2
C6_P1_M34,CD8_2
C6_P2_M34,CD8_2
C7_P3_M34,CD8_2
C8_P1_M34,CD8_5
C8_P2_M34,CD8_2
C8_P3_M34,CD8_1
C8_P4_M34,CD8_5
C9_P1_M34,CD8_2
C9_P2_M34,CD8_2
C9_P3_M34,CD8_4
C9_P4_M34,CD8_3
D10_P1_M34,CD8_3
D10_P2_M34,CD8_2
D10_P3_M34,CD8_1
D11_P1_M34,CD8_2
D12_P2_M34,CD8_2
D1_P1_M34,CD8_2
D1_P2_M34,CD8_5
D1_P3_M34,CD8_6
D2_P4_M34,CD8_2
D4_P3_M34,CD8_2
D4_P4_M34,CD8_2
D5_P1_M34,CD8_3
D5_P2_M34,CD8_4
D5_P4_M34,CD8_3
D7_P1_M34,CD8_2
D7_P2_M34,CD8_2
D7_P3_M34,CD8_2
D8_P3_M34,CD8_6
D9_P2_M34,CD8_3
D9_P3_M34,CD8_1
D9_P4_M34,CD8_1
E10_P2_M34,CD8_2
E10_P3_M34,CD8_2
E10_P4_M34,CD8_2
E11_P3_M34,CD8_2
E12_P1_M34,CD8_2
E12_P2_M34,CD8_1
E12_P4_M34,CD8_2
E1_P1_M34,CD8_3
E1_P2_M34,CD8_3
E1_P3_M34,CD8_2
E1_P4_M34,CD8_2
E2_P2_M34,CD8_5
E2_P4_M34,CD8_2
E3_P2_M34,CD8_2
E4_P1_M34,CD8_3
E4_P4_M34,CD8_3
E5_P1_M34,CD8_3
E7_P4_M34,CD8_2
E8_P1_M34,CD8_2
E8_P2_M34,CD8_2
E8_P4_M34,CD8_2
E9_P1_M34,CD8_2
E9_P2_M34,CD8_5
E9_P3_M34,CD8_2
F10_P1_M34,CD8_3
F11_P2_M34,CD8_6
F12_P4_M34,CD8_2
F1_P1_M34,CD8_2
F1_P2_M34,CD8_1
F1_P3_M34,CD8_1
F2_P1_M34,CD8_3
F2_P2_M34,CD8_3
F2_P3_M34,CD8_1
F2_P4_M34,CD8_5
F3_P4_M34,CD8_2
F4_P1_M34,CD8_1
F4_P3_M34,CD8_4
F5_P1_M34,CD8_2
F6_P1_M34,CD8_2
F6_P2_M34,CD8_6
F6_P3_M34,CD8_2
F7_P1_M34,CD8_2
F7_P2_M34,CD8_2
F7_P4_M34,CD8_1
F9_P1_M34,CD8_2
G10_P2_M34,CD8_6
G10_P3_M34,CD8_3
G10_P4_M34,CD8_6
G11_P1_M34,CD8_2
G11_P3_M34,CD8_2
G11_P4_M34,CD8_3
G12_P1_M34,CD8_2
G12_P2_M34,CD8_3
G12_P3_M34,CD8_2
G12_P4_M34,CD8_1
G1_P2_M34,CD8_1
G2_P1_M34,CD8_4
G4_P1_M34,CD8_3
G4_P3_M34,CD8_2
G5_P3_M34,CD8_5
G5_P4_M34,CD8_2
G6_P1_M34,CD8_2
G7_P1_M34,CD8_3
G8_P1_M34,CD8_2
G8_P2_M34,CD8_3
G8_P3_M34,CD8_1
G9_P3_M34,CD8_2
H10_P1_M34,CD8_2
H10_P2_M34,CD8_3
H11_P3_M34,CD8_3
H11_P4_M34,CD8_3
H12_P3_M34,CD8_2
H12_P4_M34,CD8_2
H1_P3_M34,CD8_2
H3_P1_M34,CD8_3
H4_P3_M34,CD8_2
H4_P4_M34,CD8_3
H5_P1_M34,CD8_2
H5_P2_M34,CD8_1
H5_P4_M34,CD8_2
H6_P1_M34,CD8_2
H6_P2_M34,CD8_2
H6_P4_M34,CD8_3
H7_P2_M34,CD8_3
H7_P3_M34,CD8_2
H7_P4_M34,CD8_2
H8_P1_M34,CD8_5
H8_P3_M34,CD8_2
H8_P4_M34,CD8_4
H9_P1_M34,CD8_2
H9_P2_M34,CD8_2
H9_P3_M34,CD8_3
H9_P4_M34,CD8_2
A10_P1_M39,CD8_2
A10_P2_M39,CD8_2
A11_P1_M39,CD8_2
A11_P4_M39,CD8_6
A12_P1_M39,CD8_1
A12_P3_M39,CD8_4
A2_P1_M39,CD8_2
A2_P2_M39,CD8_6
A2_P3_M39,CD8_1
A3_P1_M39,CD8_2
A3_P4_M39,CD8_1
A4_P2_M39,CD8_3
A5_P4_M39,CD8_3
A6_P1_M39,CD8_2
A7_P2_M39,CD8_6
A7_P3_M39,CD8_4
A8_P4_M39,CD8_6
A9_P4_M39,CD8_3
B12_P2_M39,CD8_2
B1_P1_M39,CD8_2
B1_P3_M39,CD8_4
B1_P4_M39,CD8_2
B2_P4_M39,CD8_5
B3_P3_M39,CD8_2
B4_P1_M39,CD8_2
B5_P1_M39,CD8_4
B5_P3_M39,CD8_5
B5_P4_M39,CD8_2
B6_P3_M39,CD8_2
B6_P4_M39,CD8_2
B7_P1_M39,CD8_2
B7_P2_M39,CD8_6
B7_P3_M39,CD8_3
B7_P4_M39,CD8_5
B8_P3_M39,CD8_2
B9_P4_M39,CD8_3
C10_P4_M39,CD8_5
C11_P3_M39,CD8_6
C12_P2_M39,CD8_2
C12_P3_M39,CD8_3
C12_P4_M39,CD8_2
C1_P1_M39,CD8_2
C1_P2_M39,CD8_4
C2_P1_M39,CD8_4
C3_P1_M39,CD8_6
C3_P2_M39,CD8_4
C4_P4_M39,CD8_6
C5_P4_M39,CD8_4
C7_P1_M39,CD8_1
C8_P1_M39,CD8_4
C8_P2_M39,CD8_3
C8_P4_M39,CD8_2
C9_P1_M39,CD8_2
C9_P4_M39,CD8_2
D10_P1_M39,CD8_3
D10_P4_M39,CD8_2
D12_P1_M39,CD8_6
D12_P2_M39,CD8_4
D12_P3_M39,CD8_1
D1_P2_M39,CD8_4
D1_P4_M39,CD8_3
D2_P1_M39,CD8_3
D3_P1_M39,CD8_4
D4_P4_M39,CD8_2
D5_P3_M39,CD8_5
D6_P2_M39,CD8_3
D6_P3_M39,CD8_1
D7_P1_M39,CD8_3
D7_P2_M39,CD8_2
D8_P1_M39,CD8_2
D8_P3_M39,CD8_3
D9_P2_M39,CD8_2
E10_P1_M39,CD8_2
